Order_Quantity,Net_price,dubai_marker,premium,api_60F,water_vol_perc,water_mass_perc,sulfur_mass_perc,salt_lbs_per_kbbl,mechanical_impur_mass_perc,mechanical_impur_vol_perc
692289.58,49.17,45.839,3.331,35.63,0.880048,1.04,0.282,39.883,0.021,0.009
706348.46,45.42,41.691,3.729,36.27,0.22761,0.27,0.279,12.745,0.009,0.004
707360.91,45.39,41.691,3.699,37.06,0.36916,0.44,0.257,23.151,0.018,0.008
708249.52,41.66,34.591,7.069,35.51,0.237104,0.28,0.293,14.97,0.011,0.005
695998.56,40.54,34.591,5.949,35.42,0.135568,0.16,0.291,8.367,0.008,0.003
703413.83,40.61,34.591,6.019,35.39,0.355908,0.42,0.294,20.475,0.014,0.006
703274.51,31.24,26.81,4.43,36.04,0.236348,0.28,0.277,17.097,0.01,0.004
705530.68,31.09,26.81,4.28,35.49,0.33876,0.4,0.289,24.051,0.019,0.008
703978.14,33.58,29.303,4.277,37.16,0.276705,0.33,0.255,19.908,0.014,0.006
708469.55,34.99,29.303,5.687,35.77,0.101448,0.12,0.275,6.826,0.01,0.004
697383.89,42.05,35.142,6.908,35.79,0.29589,0.35,0.257,20.514,0.013,0.005
699928.2,39.44,35.142,4.298,35.86,0.219726,0.26,0.267,17.112,0.011,0.005
701133.16,40.59,35.142,5.448,35.8,0.262074,0.31,0.276,21.2,0.013,0.005
708038.11,44.84,39.028,5.812,35.76,0.27056,0.32,0.272,20.6,0.012,0.005
710527.55,49.92,44.269,5.651,35.41,0.406704,0.48,0.276,28.2,0.015,0.006
714640.35,44.9,39.028,5.872,35.55,0.491028,0.58,0.278,41.7,0.02,0.008
707749.52,49.13,44.269,4.861,35.72,0.312909,0.37,0.263,25,0.014,0.006
749,44.9,39.028,5.872,35.55,0.491028,0.58,0.278,41.7,0.02,0.008
717317.93,50.37,46.256,4.114,35.24,0.229014,0.27,0.279,19.4,0.009,0.004
708505.23,50.29,46.256,4.034,35.5,0.694458,0.82,0.275,49.5,0.021,0.009
714730.15,50.34,46.256,4.084,35.33,0.237356,0.28,0.281,17,0.015,0.006
353396.65,43.79,39.028,4.762,35.41,0.42365,0.5,0.282,32.9,0.018,0.008
354710.61,43.79,39.028,4.762,35.41,0.42365,0.5,0.282,32.9,0.018,0.008
